halo_id,resolution,levelmin,levelmin_TF,levelmax,ref_center_x,ref_center_y,ref_center_z,ref_extent_x,ref_extent_y,ref_extent_z,seed9,seed10,seed11,seed12,output_file
295,512,7,9,9,0.29940000,0.05160000,0.54320000,0.10902000,0.08694000,0.10235000,42424242,,,,IC_halo295_zoom_512.hdf5
295,1024,7,9,10,0.29940000,0.05160000,0.54320000,0.10902000,0.08694000,0.10235000,42424242,2951010,,,IC_halo295_zoom_1024.hdf5
295,2048,7,9,11,0.29940000,0.05160000,0.54320000,0.10902000,0.08694000,0.10235000,42424242,2951010,2951111,,IC_halo295_zoom_2048.hdf5
295,4096,7,9,12,0.29940000,0.05160000,0.54320000,0.10902000,0.08694000,0.10235000,42424242,2951010,2951111,2951212,IC_halo295_zoom_4096.hdf5
308,512,7,9,9,0.85800000,0.76980000,0.24180000,0.09775000,0.10879000,0.12236000,42424242,,,,IC_halo308_zoom_512.hdf5
308,1024,7,9,10,0.85800000,0.76980000,0.24180000,0.09775000,0.10879000,0.12236000,42424242,3081010,,,IC_halo308_zoom_1024.hdf5
308,2048,7,9,11,0.85800000,0.76980000,0.24180000,0.09775000,0.10879000,0.12236000,42424242,3081010,3081111,,IC_halo308_zoom_2048.hdf5
308,4096,7,9,12,0.85800000,0.76980000,0.24180000,0.09775000,0.10879000,0.12236000,42424242,3081010,3081111,3081212,IC_halo308_zoom_4096.hdf5
441,512,7,9,9,0.20700000,0.70860000,0.74960000,0.08901000,0.12190000,0.08901000,42424242,,,,IC_halo441_zoom_512.hdf5
441,1024,7,9,10,0.20700000,0.70860000,0.74960000,0.08901000,0.12190000,0.08901000,42424242,4411010,,,IC_halo441_zoom_1024.hdf5
441,2048,7,9,11,0.20700000,0.70860000,0.74960000,0.08901000,0.12190000,0.08901000,42424242,4411010,4411111,,IC_halo441_zoom_2048.hdf5
441,4096,7,9,12,0.20700000,0.70860000,0.74960000,0.08901000,0.12190000,0.08901000,42424242,4411010,4411111,4411212,IC_halo441_zoom_4096.hdf5
859,512,7,9,9,0.94960000,0.44380000,0.47120000,0.04048000,0.14375000,0.05796000,42424242,,,,IC_halo859_zoom_512.hdf5
859,1024,7,9,10,0.94960000,0.44380000,0.47120000,0.04048000,0.14375000,0.05796000,42424242,8591010,,,IC_halo859_zoom_1024.hdf5
859,2048,7,9,11,0.94960000,0.44380000,0.47120000,0.04048000,0.14375000,0.05796000,42424242,8591010,8591111,,IC_halo859_zoom_2048.hdf5
859,4096,7,9,12,0.94960000,0.44380000,0.47120000,0.04048000,0.14375000,0.05796000,42424242,8591010,8591111,8591212,IC_halo859_zoom_4096.hdf5
1481,512,7,9,9,0.35100000,0.22260000,0.71060000,0.06210000,0.10189000,0.07314000,42424242,,,,IC_halo1481_zoom_512.hdf5
1481,1024,7,9,10,0.35100000,0.22260000,0.71060000,0.06210000,0.10189000,0.07314000,42424242,14811010,,,IC_halo1481_zoom_1024.hdf5
1481,2048,7,9,11,0.35100000,0.22260000,0.71060000,0.06210000,0.10189000,0.07314000,42424242,14811010,14811111,,IC_halo1481_zoom_2048.hdf5
1481,4096,7,9,12,0.35100000,0.22260000,0.71060000,0.06210000,0.10189000,0.07314000,42424242,14811010,14811111,14811212,IC_halo1481_zoom_4096.hdf5
1534,512,7,9,9,0.37080000,0.34860000,0.93000000,0.30843000,0.06877000,0.17296000,42424242,,,,IC_halo1534_zoom_512.hdf5
1534,1024,7,9,10,0.37080000,0.34860000,0.93000000,0.30843000,0.06877000,0.17296000,42424242,15341010,,,IC_halo1534_zoom_1024.hdf5
1534,2048,7,9,11,0.37080000,0.34860000,0.93000000,0.30843000,0.06877000,0.17296000,42424242,15341010,15341111,,IC_halo1534_zoom_2048.hdf5
1534,4096,7,9,12,0.37080000,0.34860000,0.93000000,0.30843000,0.06877000,0.17296000,42424242,15341010,15341111,15341212,IC_halo1534_zoom_4096.hdf5
3352,512,7,9,9,0.25500000,0.36620000,0.49100000,0.05083000,0.18561000,0.07084000,42424242,,,,IC_halo3352_zoom_512.hdf5
3352,1024,7,9,10,0.25500000,0.36620000,0.49100000,0.05083000,0.18561000,0.07084000,42424242,33521010,,,IC_halo3352_zoom_1024.hdf5
3352,2048,7,9,11,0.25500000,0.36620000,0.49100000,0.05083000,0.18561000,0.07084000,42424242,33521010,33521111,,IC_halo3352_zoom_2048.hdf5
3352,4096,7,9,12,0.25500000,0.36620000,0.49100000,0.05083000,0.18561000,0.07084000,42424242,33521010,33521111,33521212,IC_halo3352_zoom_4096.hdf5
3879,512,7,9,9,0.84080000,0.89180000,0.63820000,0.03128000,0.03128000,0.03565000,42424242,,,,IC_halo3879_zoom_512.hdf5
3879,1024,7,9,10,0.84080000,0.89180000,0.63820000,0.03128000,0.03128000,0.03565000,42424242,38791010,,,IC_halo3879_zoom_1024.hdf5
3879,2048,7,9,11,0.84080000,0.89180000,0.63820000,0.03128000,0.03128000,0.03565000,42424242,38791010,38791111,,IC_halo3879_zoom_2048.hdf5
3879,4096,7,9,12,0.84080000,0.89180000,0.63820000,0.03128000,0.03128000,0.03565000,42424242,38791010,38791111,38791212,IC_halo3879_zoom_4096.hdf5
3886,512,7,9,9,0.77020000,0.82280000,0.65460000,0.03749000,0.06647000,0.11730000,42424242,,,,IC_halo3886_zoom_512.hdf5
3886,1024,7,9,10,0.77020000,0.82280000,0.65460000,0.03749000,0.06647000,0.11730000,42424242,38861010,,,IC_halo3886_zoom_1024.hdf5
3886,2048,7,9,11,0.77020000,0.82280000,0.65460000,0.03749000,0.06647000,0.11730000,42424242,38861010,38861111,,IC_halo3886_zoom_2048.hdf5
3886,4096,7,9,12,0.77020000,0.82280000,0.65460000,0.03749000,0.06647000,0.11730000,42424242,38861010,38861111,38861212,IC_halo3886_zoom_4096.hdf5
5834,512,7,9,9,0.76900000,0.29640000,0.61340000,0.05106000,0.04646000,0.11937000,42424242,,,,IC_halo5834_zoom_512.hdf5
5834,1024,7,9,10,0.76900000,0.29640000,0.61340000,0.05106000,0.04646000,0.11937000,42424242,58341010,,,IC_halo5834_zoom_1024.hdf5
5834,2048,7,9,11,0.76900000,0.29640000,0.61340000,0.05106000,0.04646000,0.11937000,42424242,58341010,58341111,,IC_halo5834_zoom_2048.hdf5
5834,4096,7,9,12,0.76900000,0.29640000,0.61340000,0.05106000,0.04646000,0.11937000,42424242,58341010,58341111,58341212,IC_halo5834_zoom_4096.hdf5
7723,512,7,9,9,0.70140000,0.56620000,0.28480000,0.04186000,0.16583000,0.03105000,42424242,,,,IC_halo7723_zoom_512.hdf5
7723,1024,7,9,10,0.70140000,0.56620000,0.28480000,0.04186000,0.16583000,0.03105000,42424242,77231010,,,IC_halo7723_zoom_1024.hdf5
