# Transfer functions at z=99
# k/h[Mpc^-1]  T_cdm  T_baryon  T_photon  T_nu  T_total
 5.0000000e-05  2.3736995e+05  2.3736953e+05  3.1642666e+05  2.7238131e+05  2.3758594e+05
 6.9780621e-05  2.3736708e+05  2.3736625e+05  3.1635972e+05  2.7233103e+05  2.3758270e+05
 9.7386702e-05  2.3736147e+05  2.3735986e+05  3.1622938e+05  2.7223309e+05  2.3757639e+05
 1.3591409e-04  2.3735055e+05  2.3734747e+05  3.1597562e+05  2.7204250e+05  2.3756412e+05
 1.8968339e-04  2.3732930e+05  2.3732327e+05  3.1548191e+05  2.7167162e+05  2.3754028e+05
 2.6472450e-04  2.3728792e+05  2.3727617e+05  3.1452219e+05  2.7095066e+05  2.3749381e+05
 3.6945280e-04  2.3720742e+05  2.3718458e+05  3.1266012e+05  2.6955181e+05  2.3740347e+05
 5.1561293e-04  2.3705097e+05  2.3700647e+05  3.0906078e+05  2.6684747e+05  2.3722792e+05
 7.1959580e-04  2.3674750e+05  2.3666089e+05  3.0215322e+05  2.6165622e+05  2.3688773e+05
 1.0042768e-03  2.3616120e+05  2.3599272e+05  2.8908247e+05  2.5182838e+05  2.3623170e+05
 1.4015812e-03  2.3503705e+05  2.3470970e+05  2.6502553e+05  2.3371998e+05  2.3497806e+05
 1.9560642e-03  2.3291264e+05  2.3227798e+05  2.2311323e+05  2.0208883e+05  2.3262383e+05
 2.7299075e-03  2.2900547e+05  2.2778020e+05  1.5773964e+05  1.5240036e+05  2.2834242e+05
 2.8224380e-03  2.2847500e+05  2.2716691e+05  1.4999058e+05  1.4646577e+05  2.2776575e+05
 2.9181049e-03  2.2791398e+05  2.2651756e+05  1.4207878e+05  1.4039267e+05  2.2715702e+05
 3.0170144e-03  2.2732108e+05  2.2583048e+05  1.3402980e+05  1.3419809e+05  2.2651491e+05
 3.1192764e-03  2.2669488e+05  2.2510389e+05  1.2587312e+05  1.2790177e+05  2.2583812e+05
 3.2250047e-03  2.2603402e+05  2.2433608e+05  1.1764254e+05  1.2152632e+05  2.2512538e+05
 3.3343166e-03  2.2533709e+05  2.2352520e+05  1.0937604e+05  1.1509731e+05  2.2437539e+05
 3.4473336e-03  2.2460277e+05  2.2266945e+05  1.0111586e+05  1.0864317e+05  2.2358691e+05
 3.5641814e-03  2.2382967e+05  2.2176706e+05  9.2908273e+04  1.0219509e+05  2.2275870e+05
 3.6849897e-03  2.2301644e+05  2.2081619e+05  8.4803414e+04  9.5786805e+04  2.2188958e+05
 3.8098928e-03  2.2216183e+05  2.1981502e+05  7.6854734e+04  8.9454359e+04  2.2097841e+05
 3.9390296e-03  2.2126458e+05  2.1876180e+05  6.9118492e+04  8.3235594e+04  2.2002408e+05
 4.0725434e-03  2.2032448e+05  2.1765581e+05  6.1653020e+04  7.7774961e+04  2.1903031e+05
 4.2105828e-03  2.1933859e+05  2.1649344e+05  5.4517047e+04  7.1974625e+04  2.1798730e+05
 4.3533009e-03  2.1830673e+05  2.1527391e+05  4.7769434e+04  6.6413758e+04  2.1689833e+05
 4.5008566e-03  2.1722791e+05  2.1399566e+05  4.1466992e+04  6.1131004e+04  2.1576261e+05
 4.6534136e-03  2.1610128e+05  2.1265714e+05  3.5662938e+04  5.6162520e+04  2.1457936e+05
 4.8111416e-03  2.1492611e+05  2.1125689e+05  3.0404936e+04  5.1540793e+04  2.1334794e+05
 4.9742158e-03  2.1370170e+05  2.0979352e+05  2.5733021e+04  4.7293270e+04  2.1206777e+05
 5.1428174e-03  2.1242753e+05  2.0826575e+05  2.1677404e+04  4.3440988e+04  2.1073830e+05
 5.3171338e-03  2.1110291e+05  2.0667209e+05  1.8256209e+04  3.9755258e+04  2.0935731e+05
 5.4973586e-03  2.0972794e+05  2.0501189e+05  1.5473660e+04  3.6680977e+04  2.0792755e+05
 5.6836922e-03  2.0830219e+05  2.0328384e+05  1.3317929e+04  3.4007086e+04  2.0644714e+05
 5.8763416e-03  2.0682555e+05  2.0148703e+05  1.1759977e+04  3.1716518e+04  2.0491573e+05
 6.0755209e-03  2.0529797e+05  1.9962050e+05  1.0752800e+04  2.9781299e+04  2.0333298e+05
 6.2814513e-03  2.0371945e+05  1.9768336e+05  1.0231535e+04  2.8162932e+04  2.0169852e+05
 6.4943619e-03  2.0209014e+05  1.9567491e+05  1.0114656e+04  2.6914297e+04  2.0001267e+05
 6.7144890e-03  2.0041003e+05  1.9359420e+05  1.0306267e+04  2.5802059e+04  1.9827383e+05
 6.9420774e-03  1.9867930e+05  1.9144050e+05  1.0699931e+04  2.4847109e+04  1.9648217e+05
 7.1773799e-03  1.9689805e+05  1.8921303e+05  1.1183670e+04  2.3987447e+04  1.9463730e+05
 7.4206580e-03  1.9506638e+05  1.8691097e+05  1.1646310e+04  2.3163084e+04  1.9273880e+05
 7.6721820e-03  1.9318433e+05  1.8453347e+05  1.1984785e+04  2.2275014e+04  1.9078591e+05
 7.9322315e-03  1.9125189e+05  1.8207972e+05  1.2112045e+04  2.1356873e+04  1.8877875e+05
 8.2010954e-03  1.8926898e+05  1.7954884e+05  1.1964762e+04  2.0344492e+04  1.8671672e+05
 8.4790724e-03  1.8723552e+05  1.7693994e+05  1.1510169e+04  1.9225455e+04  1.8459950e+05
 8.7664715e-03  1.8515125e+05  1.7425220e+05  1.0750936e+04  1.8025500e+04  1.8242695e+05
 9.0636121e-03  1.8301600e+05  1.7148480e+05  9.7270898e+03  1.6737191e+04  1.8019873e+05
 9.3708243e-03  1.8082948e+05  1.6863702e+05  8.5140752e+03  1.5415140e+04  1.7791484e+05
 9.6884494e-03  1.7859153e+05  1.6570833e+05  7.2162720e+03  1.4110391e+04  1.7557534e+05
 1.0016840e-02  1.7630191e+05  1.6269838e+05  5.9558491e+03  1.2867293e+04  1.7318028e+05
 1.0356362e-02  1.7396055e+05  1.5960709e+05  4.8575322e+03  1.1751949e+04  1.7072998e+05
