# Total AGB yield table from MESA stellar evolution models
# Combines Early-AGB (EAGB) + Thermally-Pulsing AGB (TPAGB)
# Columns:
#   1: M_init    - Initial stellar mass (Msun)
#   2: Z_init    - Initial metallicity (mass fraction)
#   3: t_start   - AGB start time (Myr)
#   4: t_end     - AGB end time (Myr)
#   5: C_yield   - Carbon-12 yield (Msun)
#   6: N_yield   - Nitrogen-14 yield (Msun)
#   7: O_yield   - Oxygen-16 yield (Msun)
#   8: Ne_yield  - Neon-20 yield (Msun)
#   9: Mg_yield  - Magnesium-24 yield (Msun)
#  10: Z_total   - Total metal yield (Msun)
#  11: M_lost    - Total mass lost (Msun)
#
# M_init  Z_init     t_start    t_end      C_yield    N_yield    O_yield    Ne_yield   Mg_yield   Z_total    M_lost
 0.800  0.000100   12572.564   12583.754    0.000228    0.000004    0.000035   0.0000023   0.0000040    0.000461    0.19651
 0.800  0.001000   13671.581   13682.640    0.000098    0.000022    0.000095   0.0000249   0.0000426    0.000556    0.20984
 0.800  0.002000   14861.914   14873.240    0.000069    0.000042    0.000178   0.0000511   0.0000875    0.000743    0.21580
 0.800  0.003000   15968.731   15979.948    0.000110    0.000059    0.000275   0.0000786   0.0001347    0.001013    0.22129
 0.800  0.004000   17001.891   17012.725    0.000152    0.000077    0.000373   0.0001067   0.0001827    0.001274    0.22523
 0.800  0.005000   17903.364   17915.134    0.000192    0.000096    0.000472   0.0001347   0.0002308    0.001527    0.22759
 0.800  0.010000   21992.272   22005.118    0.000414    0.000180    0.000977   0.0002788   0.0004776    0.002803    0.23546
 0.800  0.015000   25007.733   25021.296    0.000642    0.000264    0.001494   0.0004262   0.0007301    0.004073    0.23997
 0.800  0.020000   27271.100   27284.743    0.000867    0.000350    0.002007   0.0005726   0.0009809    0.005316    0.24180
 0.800  0.030000   29750.635   29765.345    0.001335    0.000536    0.003081   0.0008920   0.0015131    0.007896    0.24728
 1.000  0.000100    5891.757    5901.194    0.001390    0.000012    0.000185   0.0000046   0.0000077    0.001858    0.38087
 1.000  0.001000    6316.819    6327.042    0.000859    0.000049    0.000259   0.0000473   0.0000803    0.001655    0.39609
 1.000  0.002000    6803.647    6814.347    0.000673    0.000092    0.000407   0.0000955   0.0001629    0.001836    0.40158
 1.000  0.003000    7266.181    7276.781    0.000496    0.000134    0.000552   0.0001441   0.0002463    0.002008    0.40475
 1.000  0.004000    7704.418    7715.273    0.000302    0.000174    0.000683   0.0001922   0.0003291    0.002138    0.40559
 1.000  0.005000    8095.426    8106.235    0.000312    0.000210    0.000844   0.0002411   0.0004130    0.002504    0.40719
 1.000  0.010000    9903.114    9915.164    0.000659    0.000409    0.001735   0.0004951   0.0008482    0.004714    0.41819
 1.000  0.015000   11236.869   11249.997    0.001017    0.000601    0.002635   0.0007518   0.0012878    0.006912    0.42329
 1.000  0.020000   12205.959   12219.378    0.001377    0.000801    0.003549   0.0010122   0.0017341    0.009128    0.42750
 1.000  0.030000   13261.087   13273.437    0.002091    0.001204    0.005373   0.0015324   0.0026254    0.013525    0.43150
 1.500  0.000100    1650.595    1658.185    0.009680    0.000027    0.001100   0.0000097   0.0000165    0.011289    0.81301
 1.500  0.001000    1740.381    1748.690    0.007588    0.000139    0.001251   0.0001058   0.0001785    0.009760    0.87991
 1.500  0.002000    1852.516    1862.027    0.006747    0.000258    0.001580   0.0002137   0.0003594    0.009685    0.88590
 1.500  0.003000    1957.121    1966.832    0.006012    0.000377    0.001907   0.0003212   0.0005416    0.009708    0.89002
 1.500  0.004000    2053.332    2063.262    0.005596    0.000493    0.002227   0.0004279   0.0007236    0.010040    0.89194
 1.500  0.005000    2137.673    2147.813    0.005464    0.000611    0.002620   0.0005363   0.0009064    0.010736    0.89381
 1.500  0.010000    2518.242    2528.948    0.003736    0.001170    0.004167   0.0010656   0.0018142    0.012612    0.89451
