DGS      Haro11         10.24|0.21  1.40|0.33    -8.84|0.39  42.45    1
DGS      Haro2           9.56|0.21 -0.09|0.20    -9.66|0.29  40.96    2
DGS      Haro3           9.49|0.21 -0.20|0.18    -9.69|0.28  40.83    3
DGS      He2-10          9.50|0.21 -0.27|0.14    -9.77|0.25  40.70    4
DGS      HS0017+1055     7.84|0.16  ---          ---         ---
DGS      HS0052+2536    10.31|0.30  0.47|0.07    -9.84|0.31  ---
DGS      HS0822+3542     6.51|0.17 -1.96|0.26    -8.47|0.31  39.03 a  5
DGS      HS1222+3741     9.38|0.16  0.29|0.16    -9.08|0.22  41.54    6
DGS      HS1236+3937  <= 9.35       ---          ---         40.37    6
DGS      HS1304+3529     8.58|0.31  0.04|0.01    -8.54|0.31  41.27    6
DGS      HS1319+3224     8.05|0.24 -1.35|0.13    -9.41|0.27  ---
DGS      HS1330+3651     8.95|0.28 -0.21|0.03    -9.16|0.28  41.01    6
DGS      HS1442+4250     7.92|0.13 -1.67|0.06    -9.58|0.14  39.56    5
DGS      HS2352+2733     8.70|0.16  ---          ---         ---
DGS      IZw18           7.34|0.21 -1.12|0.09    -8.46|0.23  40.14    5
DGS      IC 10           8.44|0.02 -1.57|0.01   -10.01|0.02  39.54    4
DGS      IIZw40          8.60|0.33  0.04|0.09    -8.56|0.34  41.24    4
DGS      Mrk 1089       10.28|0.21  0.65|0.16    -9.63|0.26  41.69    7
DGS      Mrk 1450        8.09|0.21 -0.92|0.05    -9.01|0.22  40.29    5
DGS      Mrk 153         9.06|0.21 -1.04|0.14   -10.10|0.25  39.86    3
DGS      Mrk 209         7.46|0.21 -1.55|0.13    -9.01|0.25  39.70    4
DGS      Mrk 930         9.44|0.21  0.62|0.15    -8.82|0.26  41.77    3
DGS      NGC 1140        9.64|0.21 -0.11|0.04    -9.76|0.22  41.04    3
DGS      NGC 1569        8.93|0.21 -0.21|0.04    -9.13|0.21  41.02    4
DGS      NGC 1705        8.34|0.34 -1.26|0.02    -9.60|0.34  39.98    4
DGS      NGC 2366        8.29|0.31 -1.12|0.07    -9.41|0.32  40.10    4
DGS      NGC 4214        9.03|0.21 -0.96|0.04    -9.99|0.21  40.18    4
DGS      NGC 4449        9.43|0.21 -0.41|0.07    -9.84|0.22  40.70    4
DGS      NGC 4861        8.49|0.21 -0.66|0.13    -9.15|0.25  40.58    5
DGS      NGC 5253        8.77|0.21 -0.57|0.18    -9.34|0.28  40.54    4
DGS      NGC 625         8.73|0.21 -1.30|0.06   -10.03|0.22  39.83    4
DGS      NGC 6822        8.19|0.23 -1.89|0.25   -10.08|0.34  39.13 a  4
DGS      Pox186          7.06|0.17 -1.46|0.03    -8.52|0.17  39.77    5
DGS      SBS0335-052     8.00|0.15 -0.13|0.16    -8.13|0.22  41.08    8
DGS      SBS1159+545     7.84|0.18 -0.90|0.06    -8.75|0.19  40.33    9
DGS      SBS1211+540     7.60|0.21 -1.73|0.29    -9.33|0.36  39.39 a  9
DGS      SBS1249+493     8.42|0.39 -0.40|0.11    -8.82|0.40  40.82   10
DGS      SBS1415+437     7.80|0.26 -1.20|0.11    -9.00|0.29  40.04    5
DGS      SBS1533+574     9.33|0.21 -0.17|0.13    -9.50|0.25  41.02    5
DGS      Tol0618-402    10.43|0.21 -0.57|0.11   -11.00|0.24  40.63   11
DGS      Tol1214-277     8.17|0.18 -0.10|0.13    -8.27|0.22  41.14   11
DGS      UGC 4483        6.89|0.22 -2.21|0.18    -9.11|0.28  38.61 a  4
DGS      UGCA 20      <= 7.14      -1.79|0.23 >= -8.93       39.30 a  4
DGS      UM133        <= 7.99      -1.11|0.06 >= -9.09       40.13    5
DGS      UM311           9.78|0.13  0.38|0.18    -9.40|0.22  41.60   12
DGS      UM448          10.62|0.21  1.03|0.10    -9.59|0.23  42.07    3
DGS      UM461           7.66|0.22 -1.42|0.15    -9.08|0.26  39.80    3
DGS      VIIZw403        7.21|0.21 -1.89|0.25    -9.10|0.33  39.14 a  4
KINGFISH NGC 0337       10.11|0.17  0.18|0.05    -9.93|0.18  41.25    2
KINGFISH NGC 0584       10.87|0.20 -1.15|0.10   -12.02|0.22  ---
KINGFISH NGC 0628       10.29|0.21 -0.14|0.08   -10.43|0.22  40.87    2
KINGFISH NGC 0855        9.20|0.21 -1.27|0.05   -10.47|0.21  39.81    2
KINGFISH NGC 0925        9.97|0.20 -0.24|0.06   -10.21|0.21  40.89    2
KINGFISH NGC 1097       11.00|0.20  0.48|0.09   -10.53|0.22  41.23    2
KINGFISH NGC 1266       10.18|0.21  0.17|0.10   -10.01|0.24  40.19    3
KINGFISH NGC 1291       11.02|0.20 -0.47|0.06   -11.49|0.21  40.64    4
KINGFISH NGC 1316       11.68|0.20 -0.40|0.14   -12.08|0.24  40.29   13
KINGFISH NGC 1377        9.47|0.21  ---          ---         ---      3
KINGFISH NGC 1404       11.15|0.20 -0.70|0.20   -11.85|0.29  40.59   13
KINGFISH IC 0342        10.91|0.04  0.03|0.10   -10.88|0.11  40.73    4
KINGFISH NGC 1482       10.55|0.21  0.46|0.15   -10.10|0.26  40.80    2
KINGFISH NGC 1512       10.36|0.19 -0.52|0.15   -10.89|0.24  40.42    2
KINGFISH NGC 2146       10.94|0.04  0.90|0.14   -10.05|0.14  41.37    3
KINGFISH HoII            8.23|0.21 -1.51|0.15    -9.74|0.25  39.73    4
KINGFISH DDO053          7.24|0.32 -2.11|0.08    -9.35|0.33  38.78 a  2
KINGFISH NGC 2798       10.36|0.25  0.39|0.20    -9.98|0.32  40.95    2
KINGFISH NGC 2841       11.08|0.20 -0.10|0.08   -11.18|0.21  40.81    2
KINGFISH NGC 2915        8.49|0.22 -1.78|0.17   -10.28|0.27  39.43    2
KINGFISH HoI             7.84|0.14 -2.08|0.06    -9.92|0.16  38.83 a  4
KINGFISH NGC 2976        9.32|0.21 -1.11|0.04   -10.43|0.21  39.89    2
KINGFISH NGC 3049        9.71|0.19 -0.41|0.06   -10.12|0.20  40.58    2
KINGFISH NGC 3077        9.46|0.20 -1.06|0.02   -10.52|0.20  39.98    4
KINGFISH M81dwB          7.24|0.32 -2.36|0.34    -9.61|0.47  38.37 a  4
KINGFISH NGC 3190       10.74|0.20 -0.47|0.18   -11.21|0.27  39.59    2
KINGFISH NGC 3184       10.49|0.21 -0.07|0.09   -10.56|0.23  40.93    2
KINGFISH NGC 3198       10.35|0.21 -0.12|0.10   -10.47|0.23  40.87    2
KINGFISH IC 2574         8.99|0.20 -1.18|0.08   -10.17|0.22  40.01    2
KINGFISH NGC 3265        9.55|0.21 -0.65|0.09   -10.21|0.23  40.22    2
KINGFISH NGC 3351       10.47|0.20 -0.27|0.08   -10.74|0.22  40.58    2
KINGFISH NGC 3521       10.99|0.20  0.37|0.05   -10.62|0.21  41.17    2
KINGFISH NGC 3621       10.20|0.20  0.01|0.05   -10.19|0.20  41.11    2
KINGFISH NGC 3627       10.79|0.20  0.29|0.04   -10.50|0.20  41.11    2
KINGFISH NGC 3773        9.14|0.20 -0.93|0.02   -10.08|0.20  40.21    2
KINGFISH NGC 3938       10.60|0.19  0.21|0.02   -10.39|0.19  41.20    2
KINGFISH NGC 4236        9.08|0.19 -0.87|0.06    -9.95|0.20  40.33    4
KINGFISH NGC 4254       10.73|0.20  0.49|0.04   -10.25|0.21  41.38    2
KINGFISH NGC 4321       10.86|0.20  0.35|0.04   -10.51|0.21  41.20    2
KINGFISH NGC 4536       10.44|0.19  0.17|0.11   -10.26|0.22  40.88    2
KINGFISH NGC 4559        9.82|0.21 -0.40|0.05   -10.23|0.21  40.71    2
KINGFISH NGC 4569       10.51|0.19 -0.45|0.08   -10.96|0.21  40.29    2
KINGFISH NGC 4579       11.03|0.20 -0.05|0.06   -11.09|0.21  40.86    2
KINGFISH NGC 4594       11.19|0.20 -0.75|0.17   -11.95|0.26  39.70    4
KINGFISH NGC 4625        9.27|0.19 -1.23|0.15   -10.51|0.24  39.81    2
KINGFISH NGC 4631       10.44|0.20  0.27|0.04   -10.17|0.20  41.19    2
KINGFISH NGC 4725       10.85|0.20 -0.09|0.20   -10.94|0.28  40.98   13
KINGFISH NGC 4736       10.51|0.20 -0.36|0.10   -10.87|0.22  40.48    2
KINGFISH DDO154          7.35|0.41 -2.24|0.20    -9.59|0.46  38.57 a  2
KINGFISH NGC 4826       10.48|0.20 -0.57|0.10   -11.05|0.22  40.18    2
KINGFISH DDO165          8.01|0.20 -2.30|0.26   -10.31|0.33  38.48 a  2
KINGFISH NGC 5055       10.77|0.20  0.11|0.06   -10.66|0.21  40.91    2
KINGFISH NGC 5398        8.99|0.02 -1.18|0.06   -10.18|0.07  39.94   13
KINGFISH NGC 5408        8.60|0.20 -1.06|0.02    -9.67|0.20  40.15    2
KINGFISH NGC 5457       10.67|0.20  0.32|0.12   -10.35|0.23  41.33    4
KINGFISH NGC 5474        9.17|0.17 -1.11|0.25   -10.28|0.30  40.01    2
KINGFISH NGC 5713       10.50|0.22  0.32|0.10   -10.18|0.24  40.96    2
KINGFISH NGC 5866       10.80|0.20 -0.38|0.13   -11.18|0.24  40.53   14
KINGFISH NGC 6946       10.77|0.20  0.53|0.04   -10.24|0.21  41.53    2
KINGFISH NGC 7331       11.15|0.20  0.49|0.07   -10.66|0.21  41.22    2
KINGFISH NGC 7793        9.72|0.19 -0.57|0.05   -10.28|0.20  40.56    2
