halo_id,center_x,center_y,center_z,fof_mass_msun,fof_particle_count,M200c_msun,R200c_pkpc,N200c,mass_bin,nearest_halo_distance_pkpc,nearest_halo_mass_msun,nearest_more_massive_distance_pkpc,nearest_more_massive_mass_msun,significant_neighbor_distance_pkpc,significant_neighbor_mass_msun,significant_neighbor_distance_R200,neighbor_count_500pkpc,neighbor_count_1000pkpc,neighbor_count_2000pkpc,isolated
0,2.1451568359e+04,2.4893244629e+03,4.7230996094e+03,6.5224493325e+14,84056,3.3538748797e+14,9.9999503768e+02,43222,>12.5,3.3818477916e+03,1.0863506621e+13,nan,nan,nan,nan,inf,0,0,0,1
1,8.0542612305e+03,2.7554181641e+04,8.9148916016e+03,1.6691778481e+14,21511,1.1895539750e+14,9.9996421484e+02,15330,>12.5,1.7908516226e+03,9.2339806276e+11,4.2505995784e+04,3.3538748797e+14,2.7394903066e+04,7.9427752692e+13,2.7395883432e+01,0,0,3,1
2,3.1844656250e+04,3.3370449219e+04,3.5571222656e+04,1.4986207433e+14,19313,9.9905462672e+13,9.8236084909e+02,12875,>12.5,4.0942920479e+03,1.6683242310e+12,4.3060983276e+04,3.3538748797e+14,1.5316852864e+04,7.0317926426e+13,1.5591880395e+01,0,0,0,1
5,6.7881430664e+03,3.6860093750e+04,3.2381328125e+04,1.0435949859e+14,13449,9.3333041167e+13,9.5994634937e+02,12028,>12.5,2.3129963227e+03,4.2367675821e+12,3.7546064076e+04,1.1895539750e+14,1.0517232860e+04,5.0243718121e+13,1.0956063187e+01,0,0,0,1
4,3.7183777344e+04,3.1632673340e+03,3.8004800781e+04,1.1506781394e+14,14829,9.2060458962e+13,9.5594738004e+02,11864,>12.5,3.4945244487e+03,1.6372856407e+12,3.0665817561e+04,9.9905462672e+13,1.4685018460e+04,8.8250471998e+13,1.5361743509e+01,0,0,0,1
3,4.4822414062e+04,4.9739621094e+04,4.3264265625e+04,1.1845101840e+14,15265,8.8250471998e+13,9.4252460928e+02,11373,>12.5,1.9572712728e+03,1.2958611469e+12,1.4685018460e+04,9.2060458962e+13,9.0407703814e+03,6.3691187387e+13,9.5920788618e+00,0,0,1,1
6,1.4377958008e+04,4.3334679688e+04,1.7662358398e+03,9.3387357606e+13,12035,7.9427752692e+13,9.1004895042e+02,10236,>12.5,1.6450386843e+03,1.1018699572e+12,1.7737611533e+04,3.3538748797e+14,1.7737611533e+04,3.3538748797e+14,1.9490832361e+01,0,0,1,1
7,3.6406074219e+04,4.0465589844e+04,4.1502113281e+04,8.9810160718e+13,11574,7.0317926426e+13,8.7379243729e+02,9062,>12.5,2.2491509132e+03,7.1311161317e+12,1.5316852864e+04,9.9905462672e+13,1.5316852864e+04,9.9905462672e+13,1.7529166207e+01,0,0,0,1
9,4.4079707031e+04,4.5847460938e+04,4.7883992188e+04,8.2919592583e+13,10686,6.3691187387e+13,8.4531264367e+02,8208,>12.5,2.0457966499e+03,9.6995594827e+11,9.0407703814e+03,8.8250471998e+13,9.0407703814e+03,8.8250471998e+13,1.0695179410e+01,0,0,0,1
10,1.0325041992e+04,3.3173972656e+04,7.1902656250e+03,7.9598467731e+13,10258,5.7056688701e+13,8.1494331966e+02,7353,>12.5,2.2485170636e+03,4.1048535731e+12,9.3609799918e+03,1.1895539750e+14,9.3609799918e+03,1.1895539750e+14,1.1486663877e+01,0,0,0,1
8,9.8688515625e+03,2.3201263672e+04,9.5736552734e+03,8.6232963829e+13,11113,5.1508540677e+13,7.8770640817e+02,6638,>12.5,1.7831451422e+03,1.6760838786e+12,7.0733595381e+03,1.1895539750e+14,4.9257775046e+03,3.1752477923e+13,6.2533165320e+00,0,0,1,1
15,3.7728617188e+04,1.2427547852e+04,1.9069201660e+03,6.3698943711e+13,8209,5.0577382967e+13,7.8281952248e+02,6518,>12.5,1.8475808609e+03,1.4355348034e+12,2.4829238184e+04,9.2060458962e+13,7.0011486516e+03,5.0096284816e+13,8.9435028772e+00,0,0,1,1
17,4.0744702148e+02,3.4158914062e+04,3.3837210938e+04,5.8158558094e+13,7495,5.0243718121e+13,7.8098529135e+02,6475,>12.5,3.3657974825e+03,3.9496606214e+12,1.0517232860e+04,9.3333041167e+13,4.6448379607e+03,2.9168515276e+13,5.9474077325e+00,0,0,0,1
14,3.9876539062e+04,1.3024497070e+04,4.7754320312e+04,6.4684420318e+13,8336,5.0096284816e+13,7.8022203141e+02,6456,>12.5,2.6213545538e+03,1.2648225565e+13,7.0011486516e+03,5.0577382967e+13,6.5235715222e+03,4.7256253800e+13,8.3611731783e+00,0,0,0,1
13,4.0949203125e+04,9.6732392578e+03,4.5126542969e+04,6.5437107460e+13,8433,4.7256253800e+13,7.6532218639e+02,6090,>12.5,3.3105237198e+03,1.3812172703e+12,6.5235715222e+03,5.0096284816e+13,6.5235715222e+03,5.0096284816e+13,8.5239545360e+00,0,0,0,1
16,5.6766879883e+03,3.1420652344e+04,1.9335597656e+04,6.2092700036e+13,8002,4.6340615385e+13,7.6012473896e+02,5972,>12.5,3.4139090143e+03,1.6062470503e+12,1.6884038498e+04,1.1895539750e+14,1.0494895480e+04,2.3403097120e+13,1.3806806886e+01,0,0,0,1
18,1.3687856445e+04,2.6401869141e+04,7.8082480469e+03,5.6769582167e+13,7316,4.4881801638e+13,7.5220270064e+02,5784,>12.5,1.4632718015e+03,1.0087541862e+12,7.8525473382e+03,5.1508540677e+13,7.8525473382e+03,5.1508540677e+13,1.0439403277e+01,0,0,1,1
11,1.2312632812e+04,5.7480781250e+03,7.1486440430e+03,7.8457795731e+13,10111,3.7735166212e+13,7.1010246490e+02,4863,>12.5,1.3635095316e+03,7.9924370138e+11,1.4856126177e+04,3.3538748797e+14,7.5676850719e+03,2.4427370601e+13,1.0657173360e+01,0,0,1,1
19,2.5424138672e+04,3.7779546875e+04,2.4828278809e+03,5.1399906406e+13,6624,3.5865091143e+13,6.9805697014e+02,4622,>12.5,2.1914735035e+03,7.9924370138e+11,1.8397380498e+04,7.9427752692e+13,1.5532728974e+04,2.1401108043e+13,2.2251377235e+01,0,0,0,1
20,3.5174770508e+03,4.6384667969e+04,7.7875214844e+03,4.9002174926e+13,6315,3.5073607090e+13,6.9276188009e+02,4520,>12.5,1.6332392143e+03,2.4986065228e+12,1.8994412644e+04,7.9427752692e+13,1.2142211886e+04,2.4427370601e+13,1.7527251765e+01,0,0,1,1
25,2.9127814453e+04,3.5837003906e+04,3.0811091797e+04,4.0435522650e+13,5211,3.4576989644e+13,6.8933234449e+02,4456,>12.5,2.2486200948e+03,3.9419009738e+12,8.9279882942e+03,9.9905462672e+13,8.9279882942e+03,9.9905462672e+13,1.2951645698e+01,0,0,0,1
23,7.4689227295e+02,4.4886695312e+04,3.2789117188e+04,4.6480287857e+13,5990,3.3366484621e+13,6.8144100328e+02,4300,>12.5,2.4117761573e+03,1.1329085476e+12,1.4935114760e+04,9.3333041167e+13,6.7362081108e+03,2.6786303468e+13,9.8852403632e+00,0,0,0,1
21,6.5837758789e+03,4.0009929688e+04,4.5169378906e+04,4.8249487783e+13,6218,3.2691395281e+13,6.7639361183e+02,4213,>12.5,2.2132414401e+03,9.6995594827e+11,1.5951867064e+04,7.9427752692e+13,1.1594798227e+04,2.0252680200e+13,1.7142087128e+01,0,0,0,1
28,3.8877253906e+04,5.2432666016e+03,2.7716425781e+03,3.6990238582e+13,4767,3.2528442681e+13,6.7502957340e+02,4192,>12.5,2.6615700419e+03,2.8633099593e+12,1.0883440938e+04,5.0577382967e+13,9.7759722890e+03,1.9352561080e+13,1.4482287405e+01,0,0,0,1
12,1.1184207031e+04,2.0165710938e+04,9.3470781250e+03,7.0488635203e+13,9084,3.1752477923e+13,6.7026595557e+02,4092,>12.5,1.5053226540e+03,1.4432944510e+12,4.9257775046e+03,5.1508540677e+13,4.9257775046e+03,5.1508540677e+13,7.3489895520e+00,0,0,2,1
22,2.9999197266e+04,1.0724492188e+04,3.0854423828e+03,4.7442485517e+13,6114,3.1705920037e+13,6.7001854698e+02,4086,>12.5,4.7000050865e+03,2.5529240559e+12,1.1886627416e+04,5.0577382967e+13,1.1886627416e+04,5.0577382967e+13,1.7740743849e+01,0,0,0,1
32,4.7313144531e+04,2.8318515625e+04,8.4564785156e+03,3.3599273265e+13,4330,3.0115192282e+13,6.5820403630e+02,3881,>12.5,3.2936573026e+03,2.2347785048e+12,1.6010146005e+04,1.1895539750e+14,1.3380019948e+04,2.5800828224e+13,2.0328073378e+01,0,0,0,1
31,1.5394773438e+04,3.7031488281e+04,5.8478666992e+03,3.4235565675e+13,4412,2.9921201092e+13,6.5707824469e+02,3856,>12.5,2.9112854116e+03,8.3804193931e+11,9.6707495210e+03,5.7056688701e+13,8.9530829105e+03,1.9825899583e+13,1.3625596317e+01,0,0,0,1
26,3.3479084473e+03,3.4292886719e+04,3.2782093750e+04,3.8782717455e+13,4998,2.9168515276e+13,6.5156766263e+02,3759,>12.5,2.9828991253e+03,1.2260243186e+12,4.6448379607e+03,5.0243718121e+13,4.6448379607e+03,5.0243718121e+13,7.1287116091e+00,0,0,0,1
33,4.8848121643e+01,7.6340122070e+03,3.4618156250e+04,3.2512923641e+13,4190,2.7919212015e+13,6.4160789685e+02,3598,>12.5,1.6153097480e+03,4.0272570972e+12,1.9045682398e+04,8.8250471998e+13,1.0300300745e+04,2.0105246896e+13,1.6053887109e+01,0,0,1,1
29,3.7482309570e+03,4.1589640625e+04,3.3617335938e+04,3.5127922870e+13,4527,2.6786303468e+13,6.3313957337e+02,3452,>12.5,2.0110724820e+03,7.7596475862e+11,6.7362081108e+03,3.3366484621e+13,6.7362081108e+03,3.3366484621e+13,1.0639373045e+01,0,0,0,1
35,4.4169179688e+04,3.0227476562e+04,1.6678712891e+04,3.0053114367e+13,3873,2.5800828224e+13,6.2558921303e+02,3325,>12.5,5.9061322469e+03,1.7691996496e+12,1.3380019948e+04,3.0115192282e+13,1.3380019948e+04,3.0115192282e+13,2.1387868699e+01,0,0,0,1
30,1.0155692383e+04,1.1438502197e+03,7.4700346680e+03,3.4608028818e+13,4460,2.4427370601e+13,6.1416247314e+02,3148,>12.5,2.8939197634e+03,4.6402692565e+12,7.5676850719e+03,3.7735166212e+13,7.5676850719e+03,3.7735166212e+13,1.2321959421e+01,0,0,0,1
37,2.5558796387e+03,3.6677191406e+04,3.9296253906e+04,2.9184034306e+13,3761,2.3992830336e+13,6.1048463316e+02,3092,>12.5,2.0117988564e+03,1.8623154207e+12,9.4834356347e+03,5.0243718121e+13,5.2408223217e+03,2.0252680200e+13,8.5846916319e+00,0,0,0,1
36,6.2341328125e+03,3.4162144531e+04,2.5823279297e+04,2.9300429038e+13,3776,2.3403097120e+13,6.0483096794e+02,3016,>12.5,5.2302710757e+03,2.7624345407e+12,1.0494895480e+04,4.6340615385e+13,1.0494895480e+04,4.6340615385e+13,1.7351782624e+01,0,0,0,1
45,1.9030419922e+04,3.0453142578e+04,6.3279985352e+03,2.3775559696e+13,3064,2.1401108043e+13,5.8775986304e+02,2758,>12.5,2.9446707768e+03,1.2749100984e+13,1.0199588396e+04,4.4881801638e+13,2.9446707768e+03,1.2749100984e+13,5.0099895586e+00,0,0,0,1
39,5.0476782227e+02,4.3080003906e+04,2.6419519531e+04,2.7065650183e+13,3488,2.1307992272e+13,5.8664348476e+02,2746,>12.5,2.8871978627e+03,8.0700334896e+11,9.8414956785e+03,3.3366484621e+13,5.1047430841e+03,1.5961595085e+13,8.7016104615e+00,0,0,0,1
43,5.1029130859e+03,3.8487503906e+04,3.7658257812e+04,2.4442890097e+13,3150,2.0252680200e+13,5.7696550466e+02,2610,>12.5,2.6146756869e+03,1.1686029265e+13,5.2408223217e+03,2.3992830336e+13,2.6146756869e+03,1.1686029265e+13,4.5317712511e+00,0,0,0,1
34,4.3261894531e+04,7.9505820312e+03,3.6003671875e+04,3.0681647733e+13,3954,2.0105246896e+13,5.7549007361e+02,2591,>12.5,2.9105880170e+03,1.4277751559e+12,1.0300300745e+04,2.7919212015e+13,1.0300300745e+04,2.7919212015e+13,1.7898311746e+01,0,0,0,1
40,1.1041104492e+04,4.1198945312e+04,5.9199379883e+03,2.6964775353e+13,3475,1.9825899583e+13,5.7293256084e+02,2555,>12.5,2.0201658592e+03,1.1949857283e+12,8.5266471623e+03,7.9427752692e+13,8.5266471623e+03,7.9427752692e+13,1.4882462169e+01,0,0,0,1
38,2.3786273438e+04,4.8022234375e+04,2.6527496094e+04,2.7701942593e+13,3570,1.9546552270e+13,5.7027279245e+02,2519,>12.5,2.4041196698e+03,9.0011912000e+11,2.0762274671e+04,3.4576989644e+13,1.9568593292e+04,9.9401085579e+12,3.4314443107e+01,0,0,0,1
47,3.8149132812e+04,4.8720140625e+04,2.2913747559e+03,2.3356538660e+13,3010,1.9352561080e+13,5.6739392017e+02,2494,>12.5,4.6785918046e+03,3.8099869648e+12,9.7759722890e+03,3.2528442681e+13,9.7759722890e+03,3.2528442681e+13,1.7229603529e+01,0,0,0,1
50,3.3513031250e+04,3.8440031250e+04,3.6181472656e+04,2.0539787959e+13,2647,1.7668717554e+13,5.5108380298e+02,2277,>12.5,1.6331448478e+03,1.1639471379e+12,7.9795433289e+03,9.9905462672e+13,5.7795089940e+03,1.5922796847e+13,1.0487531956e+01,0,0,1,1
27,2.1351936035e+03,4.4406015625e+04,1.5834460938e+04,3.7354944493e+13,4814,1.6877233500e+13,5.4305519999e+02,2175,>12.5,2.4034835620e+03,8.0700334896e+11,1.2479398847e+04,3.5073607090e+13,3.5122576758e+03,1.1802423979e+13,6.4675887016e+00,0,0,0,1
51,4.0654710938e+04,5.1379165039e+03,4.1985050781e+04,2.0454431218e+13,2636,1.6559087949e+13,5.3927849198e+02,2134,>12.5,2.4133761430e+03,1.0553120717e+12,8.2069666978e+03,4.7256253800e+13,3.6642607190e+03,1.1538595961e+13,6.7947466355e+00,0,0,0,1
46,1.1342991943e+03,4.3226679688e+04,2.3044345703e+04,2.3674684866e+13,3051,1.5961595085e+13,5.3289429424e+02,2057,>12.5,5.1047430841e+03,2.1307992272e+13,5.1047430841e+03,2.1307992272e+13,5.1047430841e+03,2.1307992272e+13,9.5792789290e+00,0,0,0,1
24,3.1624794922e+04,3.5830718750e+04,3.3998789062e+04,4.1327883471e+13,5326,1.5922796847e+13,5.3252973469e+02,2052,>12.5,1.5036246460e+03,1.6683242310e+12,4.3495355570e+03,9.9905462672e+13,4.3495355570e+03,9.9905462672e+13,8.1676858092e+00,0,0,1,1
41,9.3010634766e+03,4.0998585938e+04,2.8404302734e+04,2.5040383659e+13,3227,1.5146832088e+13,5.2381380940e+02,1952,>12.5,2.0452600386e+03,4.3221237055e+12,9.3072931658e+03,9.3333041167e+13,9.3072931658e+03,9.3333041167e+13,1.7768323398e+01,0,0,0,1
53,1.7654187500e+04,3.3734164062e+04,2.0767810547e+04,1.9887977460e+13,2563,1.4976119841e+13,5.2183691773e+02,1930,>12.5,9.9749504305e+02,2.0951048483e+12,1.8245207007e+04,4.6340615385e+13,1.2116216503e+04,1.1670509970e+13,2.3218396575e+01,0,1,2,1
48,3.8498171875e+04,2.8703254395e+03,3.5940019531e+04,2.2603853331e+13,2913,1.4332069092e+13,5.1380081809e+02,1847,>12.5,2.3404517284e+03,8.9080754289e+12,3.6617802339e+03,9.2060458962e+13,2.3404517284e+03,8.9080754289e+12,4.5551732227e+00,0,0,0,1
49,1.1547856445e+04,2.9995720703e+04,7.5922172852e+03,2.1804610109e+13,2810,1.4130318254e+13,5.1164521235e+02,1821,>12.5,1.4435781720e+03,1.0397927765e+12,5.0936012557e+03,5.7056688701e+13,5.0936012557e+03,5.7056688701e+13,9.9553384507e+00,0,0,1,1
58,4.0242785156e+04,4.7931687500e+04,3.3490210938e+04,1.7420409141e+13,2245,1.3610421866e+13,5.0446473786e+02,1754,>12.5,3.9613475085e+03,9.2339806276e+11,8.5893250768e+03,1.4332069092e+13,8.5893250768e+03,1.4332069092e+13,1.7026611440e+01,0,0,0,1
61,1.8006673828e+04,2.3021439453e+04,7.5022163086e+03,1.6202144883e+13,2088,1.3369872791e+13,5.0245077215e+02,1723,>12.5,1.4050088010e+03,1.8079978876e+12,8.1595493712e+03,4.4881801638e+13,8.1595493712e+03,4.4881801638e+13,1.6239500113e+01,0,0,2,1
72,1.9022031250e+04,4.6232304688e+04,4.1609565430e+03,1.4588137631e+13,1880,1.3168121954e+13,4.9987281759e+02,1697,>12.5,4.4780453308e+03,9.5443665310e+11,8.8752351386e+03,7.9427752692e+13,6.8025505161e+03,1.2834457108e+13,1.3608562572e+01,0,0,0,1
66,1.3360600586e+04,3.9256582031e+04,4.3831792969e+04,1.5790882893e+13,2035,1.2989650059e+13,4.9750608309e+02,1674,>12.5,2.5687548142e+03,1.2493032614e+12,1.0321637852e+04,3.2691395281e+13,2.7488878757e+03,6.5025846772e+12,5.5253352053e+00,0,0,0,1
62,4.1074867188e+04,1.8002650391e+04,4.1176054688e+04,1.6046951303e+13,2068,1.2927572879e+13,4.9632033862e+02,1666,>12.5,2.6591755930e+03,1.4665733938e+12,1.2382889114e+04,5.0096284816e+13,3.1889104935e+03,1.1833462569e+13,6.4251054115e+00,0,0,0,1
71,1.7997421875e+04,4.1770503906e+04,4.2797802734e+03,1.5030437612e+13,1937,1.2834457108e+13,4.9542837489e+02,1654,>12.5,1.0751714257e+03,7.9148405379e+11,6.8025505161e+03,1.3168121954e+13,6.8025505161e+03,1.3168121954e+13,1.3730643744e+01,0,0,1,1
44,3.5240304688e+04,2.5784664062e+04,3.8667476562e+04,2.3853157393e+13,3074,1.2772379927e+13,4.9483673693e+02,1646,>12.5,1.8120471279e+03,1.2493032614e+12,1.3174574533e+04,9.9905462672e+13,2.7417050115e+03,9.6995594827e+12,5.5406254363e+00,0,0,1,1
67,1.8467050781e+04,2.8755476562e+04,7.1825546875e+03,1.5302025018e+13,1972,1.2749100984e+13,4.9363580896e+02,1643,>12.5,2.6607945061e+03,7.7596475862e+11,2.9446707768e+03,2.1401108043e+13,2.9446707768e+03,2.1401108043e+13,5.9652697866e+00,0,0,0,1
68,3.9425800781e+04,1.3409275391e+04,4.9416527344e+04,1.5154591389e+13,1953,1.2648225565e+13,4.9316906130e+02,1630,>12.5,1.7830054765e+03,1.1018699572e+12,2.6213545538e+03,5.0096284816e+13,2.6213545538e+03,5.0096284816e+13,5.3153264458e+00,0,0,1,1
78,3.9297429688e+04,3.7296261719e+04,3.7177996094e+04,1.3711297618e+13,1767,1.2128329177e+13,4.8637419463e+02,1563,>12.5,4.5368302308e+03,7.8372440620e+11,8.8829636352e+03,1.7668717554e+13,7.0938709244e+03,1.1460999485e+13,1.4585212379e+01,0,0,0,1
77,3.9204382812e+04,2.1878298828e+04,3.9209367188e+04,1.4013923922e+13,1806,1.1848981864e+13,4.8259488298e+02,1527,>12.5,1.4616190872e+03,4.7489043227e+12,7.0283923741e+03,1.2927572879e+13,3.9908012896e+03,1.1833462569e+13,8.2694645764e+00,0,0,1,1
69,4.0650710938e+04,1.9968906250e+04,4.0426007812e+04,1.5076995505e+13,1943,1.1833462569e+13,4.8212761604e+02,1525,>12.5,1.2329263430e+03,1.4665733938e+12,3.1889104935e+03,1.2927572879e+13,3.1889104935e+03,1.2927572879e+13,6.6142456632e+00,0,0,1,1
75,2.0605869141e+03,4.4215273438e+04,1.8190025391e+04,1.4145837649e+13,1823,1.1802423979e+13,4.8104749655e+02,1521,>12.5,1.4171511422e+03,6.6189793910e+12,3.5122576758e+03,1.6877233500e+13,1.4171511422e+03,6.6189793910e+12,2.9459692700e+00,0,0,2,0
81,4.8735972656e+04,2.2740943359e+04,7.5352827148e+03,1.3462988252e+13,1735,1.1732587150e+13,4.8092460520e+02,1512,>12.5,4.5059426933e+03,1.5441698697e+12,8.6592967359e+03,3.0115192282e+13,8.6592967359e+03,3.0115192282e+13,1.8005518208e+01,0,0,0,1
