group_index,selected,mass_bin_log10,M200c_Msun,log10_M200c_Msun,R200c_kpc_h,GroupLen,GroupNsubs,x_Mpc_h,y_Mpc_h,z_Mpc_h,edge_distance_Mpc_h,neighbor_group_index,neighbor_M200c_Msun,neighbor_mass_ratio,neighbor_distance_Mpc_h,neighbor_distance_over_R200c,score
9235,1,10.5-11.0,56014957699.97119,10.748304012348363,54.53762435913087,500,1,24.332310546875,28.158666015625002,25.83405078125,21.841333984374998,11896,40010682047.65297,0.7142856781568818,0.9221602567572544,16.908698675336844,1.0
5834,1,10.5-11.0,87659768383.91237,10.942800318819405,63.3209114074707,832,1,36.1794375,20.4071953125,27.636748046875,13.820562500000001,8290,55893712006.92986,0.6376210322863193,1.4239677421929071,22.48811191345084,1.0
7723,1,10.5-11.0,64987046904.17574,10.812826802510076,57.308475494384766,608,2,36.66916796875,27.05309765625,17.083568359375,13.330832031249997,8369,55529978469.377174,0.8544776400019662,1.045578758847129,18.244749137491496,1.0
3352,1,11.0-11.5,159315261115.5065,11.202257379698159,77.27364349365234,1556,2,17.807328125,18.746625,22.867144531250002,17.807328125,2750,184049141669.0892,1.1552511691623202,1.2619256307344047,16.33060864844642,1.0
3886,1,11.0-11.5,133247695646.32567,11.124659707178996,72.80106353759766,1335,2,32.999609375,32.04296484375,33.84780859375,16.152191406249997,2355,235820539069.8982,1.769790748920925,1.7520527294467414,24.066306786052714,1.0
3879,1,11.0-11.5,143795968235.35358,11.157746709428748,74.67481231689453,1339,1,41.8951640625,38.67861328125,33.26966796875,8.104835937499999,5020,94813196983.49606,0.6593592167223598,2.10495905155757,28.18834070348699,1.0
859,1,11.5-12.0,680787805567.4507,11.833011767960496,125.3871841430664,6979,7,44.7817890625,23.814224609375,20.9337734375,5.218210937499997,1190,561119528377.7573,0.8242208861394816,3.7104424960994837,29.591879915461533,1.0
1481,1,11.5-12.0,424113248121.2922,11.62748183882639,107.08857727050781,3823,1,19.785052734375,15.216919921875,34.8099140625,15.190085937500001,2369,230122051703.66782,0.5425957635679779,1.7562183741177098,16.39967976865981,1.0
1534,1,11.5-12.0,413928709069.81696,11.616925549034756,106.22566986083986,3678,1,18.378873046875,20.968697265625,43.9883671875,6.011632812499997,662,1065617888298.1932,2.5743995643425075,1.6984818958354126,15.989373360135042,1.0
295,1,12.0-12.5,2636825280464.34,12.42108135381918,196.92123413085938,23947,11,17.397191406250002,6.07540625,30.849595703125,6.07540625,247,2537162177844.6226,0.9622033726094409,5.112239246261864,25.960832862060197,1.0
308,1,12.0-12.5,2395063684727.5605,12.37931706579152,190.70608520507812,22814,12,42.17169140625,32.328572265625,10.642986328125,7.828308593750002,310,2195374142606.5571,0.9166245376294793,3.0799965220835768,16.150488951474543,1.0
441,1,12.0-12.5,1060646882173.3534,12.025570819670339,145.36047363281253,14796,17,14.6009365234375,33.34723828125,39.92500390625,10.074996093750002,1036,552632393613.1478,0.5210333456887727,2.5383512833384727,17.462458809472988,1.0
